split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag
cardiovascular,1,indication,6658.0,p_A,0.0007067137809187279,0.21313299944351694,1,1798,0.0,50.0,0.5553774453038399,varA
cardiovascular,1,indication,6658.0,p_B,0.000819000819000819,0.32109070673344464,1,1798,0.0,50.0,0.5553774453038399,varA
cardiovascular,1,indication,6658.0,fuse_rankavg,0.0007230657989877079,0.2309404563160824,1,1798,0.0,50.0,0.5553774453038399,varA
cardiovascular,1,indication,5081.0,p_A,0.0007507507507507507,0.2593210907067335,1,1798,0.0,4.0,0.24420321826771604,varA
cardiovascular,1,indication,5081.0,p_B,0.002145922746781116,0.7412353923205343,1,1798,0.0,4.0,0.24420321826771604,varA
cardiovascular,1,indication,5081.0,fuse_rankavg,0.001049317943336831,0.4705063995548136,1,1798,0.0,4.0,0.24420321826771604,varA
cardiovascular,1,indication,1641.0,p_A,0.00558659217877095,0.900946021146355,1,1798,0.0,2.0,0.23633468293448445,varA
cardiovascular,1,indication,1641.0,p_B,0.0021231422505307855,0.7384529771841959,1,1798,0.0,2.0,0.23633468293448445,varA
cardiovascular,1,indication,1641.0,fuse_rankavg,0.005952380952380952,0.9070673344462994,1,1798,0.0,2.0,0.23633468293448445,varA
cardiovascular,1,indication,1072.0,p_A,0.0005561735261401557,0.5,1,1798,0.0,0.0,,varA
cardiovascular,1,indication,1072.0,p_B,0.0005561735261401557,0.5,1,1798,0.0,0.0,,varA
cardiovascular,1,indication,1072.0,fuse_rankavg,0.0005561735261401557,0.5,1,1798,0.0,0.0,,varA
cardiovascular,1,indication,945.0,p_A,0.0010638297872340426,0.4785754034501948,1,1798,0.0,4.0,0.9296740350914581,varA
cardiovascular,1,indication,945.0,p_B,0.0011494252873563218,0.5175292153589316,1,1798,0.0,4.0,0.9296740350914581,varA
cardiovascular,1,indication,945.0,fuse_rankavg,0.0011001100110011,0.4958263772954925,1,1798,0.0,4.0,0.9296740350914581,varA
cardiovascular,1,contraindication,19180.0,p_A,0.3303703401236546,0.760569105691057,32,1262,0.0,17.0,0.24860445025881833,varA
