split,seed,relation,disease_id,variant,auprc,auroc,n_pos,n_candidates,dd_degree_train,kg_degree,spearman_A_B,tag,fusion_w
cardiovascular,2,indication,5294.0,fuse_mlp,0.003633897383777011,0.5065253764640268,5,1798,0.0,9.0,-0.3323047786292373,varA,0.02
cardiovascular,2,indication,5386.0,p_A,0.005260692110753989,0.6706079196876743,5,1798,0.0,3.0,-0.24048941732566878,varA,0.02
cardiovascular,2,indication,5386.0,p_B,0.0031165369285717105,0.43402119353039603,5,1798,0.0,3.0,-0.24048941732566878,varA,0.02
cardiovascular,2,indication,5386.0,fuse_rankavg,0.005916560425291886,0.5770775237032906,5,1798,0.0,3.0,-0.24048941732566878,varA,0.02
cardiovascular,2,indication,5386.0,fuse_scalar,0.0031529653088686665,0.4373675404350251,5,1798,0.0,3.0,-0.24048941732566878,varA,0.02
cardiovascular,2,indication,5386.0,fuse_mlp,0.006513765956835253,0.6203011712214166,5,1798,0.0,3.0,-0.24048941732566878,varA,0.02
cardiovascular,2,indication,5295.0,p_A,0.002882298922531794,0.36783854166666663,6,1798,0.0,2.0,0.9326777477723732,varA,0.02
cardiovascular,2,indication,5295.0,p_B,0.003110406796491808,0.41378348214285715,6,1798,0.0,2.0,0.9326777477723732,varA,0.02
cardiovascular,2,indication,5295.0,fuse_rankavg,0.0029788836344376802,0.38992745535714285,6,1798,0.0,2.0,0.9326777477723732,varA,0.02
cardiovascular,2,indication,5295.0,fuse_scalar,0.0031073365320533723,0.4133184523809524,6,1798,0.0,2.0,0.9326777477723732,varA,0.02
cardiovascular,2,indication,5295.0,fuse_mlp,0.002971063993931061,0.38746279761904756,6,1798,0.0,2.0,0.9326777477723732,varA,0.02
cardiovascular,2,indication,9934.0,p_A,0.06290597684577902,0.8969359331476323,3,1798,0.0,4.0,0.40162397695902696,varA,0.02
cardiovascular,2,indication,9934.0,p_B,0.0027820076710951486,0.6064995357474466,3,1798,0.0,4.0,0.40162397695902696,varA,0.02
cardiovascular,2,indication,9934.0,fuse_rankavg,0.00572851611504485,0.8148560817084495,3,1798,0.0,4.0,0.40162397695902696,varA,0.02
cardiovascular,2,indication,9934.0,fuse_scalar,0.0028826508844477143,0.6196843082636954,3,1798,0.0,4.0,0.40162397695902696,varA,0.02
cardiovascular,2,indication,9934.0,fuse_mlp,0.028690447402741005,0.9117920148560816,3,1798,0.0,4.0,0.40162397695902696,varA,0.02
cardiovascular,2,indication,5385.0,p_A,0.009034455263713393,0.7441039925719591,3,1798,0.0,30.0,0.037282528942746,varA,0.02
cardiovascular,2,indication,5385.0,p_B,0.0024568763182930176,0.5671309192200558,3,1798,0.0,30.0,0.037282528942746,varA,0.02
cardiovascular,2,indication,5385.0,fuse_rankavg,0.004410133123282121,0.7317548746518105,3,1798,0.0,30.0,0.037282528942746,varA,0.02
cardiovascular,2,indication,5385.0,fuse_scalar,0.002502106663230825,0.5753017641597029,3,1798,0.0,30.0,0.037282528942746,varA,0.02
cardiovascular,2,indication,5385.0,fuse_mlp,0.007293665733598993,0.7732590529247911,3,1798,0.0,30.0,0.037282528942746,varA,0.02
cardiovascular,2,indication,11479.0,p_A,0.0035286663811663664,0.7697661469933185,2,1798,0.0,5.0,-0.2737316442543324,varA,0.02
cardiovascular,2,indication,11479.0,p_B,0.0020895406484626295,0.5378619153674833,2,1798,0.0,5.0,-0.2737316442543324,varA,0.02
cardiovascular,2,indication,11479.0,fuse_rankavg,0.0050843552660515875,0.7689309576837416,2,1798,0.0,5.0,-0.2737316442543324,varA,0.02
cardiovascular,2,indication,11479.0,fuse_scalar,0.0021082972771896574,0.5412026726057907,2,1798,0.0,5.0,-0.2737316442543324,varA,0.02
